norm,self_loop,sw,steps,gamma,size_norm,acc,nmi,ari,f1
sym,True,0.25,24,1.5,True,0.47692307692307695,0.4054249421620484,0.24796572558522648,0.34035811591207904
sym,True,0.25,24,2.0,False,0.5197505197505198,0.41849848768094255,0.24974111718366135,0.37265139204696707
sym,True,0.25,24,2.0,True,0.47650727650727653,0.4007489229718855,0.2442302761423888,0.338292636389616
sym,True,0.25,32,0.2,False,0.6103950103950104,0.5973189102493236,0.44335780711964223,0.5368403170250476
sym,True,0.25,32,0.2,True,0.6103950103950104,0.5973189102493236,0.44335780711964223,0.5368403170250476
sym,True,0.25,32,0.5,False,0.6103950103950104,0.5973189102493236,0.44335780711964223,0.5368403170250476
sym,True,0.25,32,0.5,True,0.6103950103950104,0.5973189102493236,0.44335780711964223,0.5368403170250476
sym,True,0.25,32,0.8,False,0.6170478170478171,0.6005147229588749,0.45090605036774795,0.539293539109182
sym,True,0.25,32,0.8,True,0.6153846153846154,0.6004837687418397,0.44896640429580703,0.5390051768351495
sym,True,0.25,32,1.0,False,0.6124740124740125,0.5678673498333717,0.42919307111086424,0.4934672969018075
sym,True,0.25,32,1.0,True,0.6128898128898129,0.5668203128936805,0.4274474591606928,0.4946542100538698
sym,True,0.25,32,1.2,False,0.5230769230769231,0.4274717182740861,0.25082310063992663,0.3789234603041776
sym,True,0.25,32,1.2,True,0.48482328482328485,0.41586726341253255,0.250077809689239,0.34617704273511835
sym,True,0.25,32,1.5,False,0.48523908523908527,0.40064509149899,0.21217740705830532,0.35689125770099195
sym,True,0.25,32,1.5,True,0.4548856548856549,0.38561728336653406,0.21231914680452318,0.32735693414913075
sym,True,0.25,32,2.0,False,0.48482328482328485,0.3981284973410733,0.2097416499308143,0.3557392287252768
sym,True,0.25,32,2.0,True,0.4544698544698545,0.38508863630346174,0.20777769742900726,0.31787840425462355
sym,True,0.5,1,0.2,False,0.6103950103950104,0.5973189102493236,0.44335780711964223,0.5368403170250476
sym,True,0.5,1,0.2,True,0.6103950103950104,0.5973189102493236,0.44335780711964223,0.5368403170250476
sym,True,0.5,1,0.5,False,0.6103950103950104,0.5973189102493236,0.44335780711964223,0.5368403170250476
sym,True,0.5,1,0.5,True,0.6103950103950104,0.5973189102493236,0.44335780711964223,0.5368403170250476
sym,True,0.5,1,0.8,False,0.6103950103950104,0.5973189102493236,0.44335780711964223,0.5368403170250476
sym,True,0.5,1,0.8,True,0.6103950103950104,0.5973189102493236,0.44335780711964223,0.5368403170250476
sym,True,0.5,1,1.0,False,0.6112266112266113,0.5978189802357486,0.4441776214542048,0.5373174333882583
sym,True,0.5,1,1.0,True,0.6108108108108108,0.5975111033669221,0.4436792323049463,0.5371365302678053
sym,True,0.5,1,1.2,False,0.6128898128898129,0.5993307997343348,0.4461914632813103,0.5382802818456549
sym,True,0.5,1,1.2,True,0.6120582120582121,0.598782308686342,0.4449397890299624,0.5380180696285936
sym,True,0.5,1,1.5,False,0.6137214137214138,0.5984294268870657,0.4466833435488921,0.5383403922353157
sym,True,0.5,1,1.5,True,0.6124740124740125,0.5967849589638337,0.44452260014396666,0.5379736158822203
